date;time;80x01-02_engine-rpm;80x03_coolant_temp;80x04_ambient_temp;80x05_intake_air_temp;80x06_fuel_temp;80x07_map_kpa;80x08_battery_voltage;80x09_throttle_pot;80x0A_idle_switch;80x0B_aircon;80x0C_park_neutral_switch;80x0F_idle_set_point;80x10_idle_hot;80x12_iac_position;80x13-14_idle_error;80x15_ignition_advance_offset;80x16_ignition_advance;80x17-18_coil_time;80x19_crankshaft_position_sensor;coolant_sensor_fault;air_intake_sensor_fault;fuel_pump_circuit_fault;throttle_pot_fault;0x80_raw;7dx01_ignition_switch;7dx02_throttle_angle;7dx04_air_fuel_ratio;7dx06_lambda_voltage;7dx07_lambda_sensor_frequency;7dx08_lambda_sensor_dutycycle;7dx09_lambda_sensor_status;7dx0A_closed_loop;7dx0B_long_term_fuel_trim;7dx0C_short_term_fuel_trim;7dx0D_carbon_canister_dutycycle;7dx0F_idle_base_pos;7dx12_ignition_advance2;7dx13_idle_speed_offset;7dx1F_jack_count;0x7d_raw
10.12.2023 00:00;19:39:16;1068;54;13;13;30;36;14. Feb;0.06;0;true;true;0;43;111;128;0;12. Mai;Apr 48;16;false;false;false;false;801C042C6D444455248E030020082080002B886F0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:18;1075;54;13;13;30;35;14. Feb;0.06;0;true;true;0;43;111;128;0;12;Apr 48;16;false;false;false;false;801C04336D444455238E030020082080002B886F0008004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:39:20.007;1089;54;13;13;30;35;14. Feb;0.06;0;true;true;0;43;111;128;0;12. Mai;Apr 48;16;false;false;false;false;801C04416D444455238E030020082080002B886F0000004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:20;1101;54;13;13;30;35;14. Feb;0.06;0;true;true;0;43;111;128;0;11. Mai;Apr 48;16;false;false;false;false;801C044D6D444455238E030020082080002B886F0014004708C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023;19:39:22.021;1075;54;13;13;30;37;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C04336D444455258E030020082080002B886E0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:23;1068;54;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;14;Apr 48;16;false;false;false;false;801C042C6D444455238E030020082080002B886E0008004C08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:25;1065;55;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;14. Mai;Apr 48;16;false;false;false;false;801C04296E444455248E030020082080002B886E000C004D08C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:25;1076;55;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;12. Mai;Apr 48;16;false;false;false;false;801C04346E444455248E030020082080002B886E0004004908C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:27;1085;55;13;13;30;36;14. Feb;0.06;0;true;true;0;43;110;128;0;12;Apr 48;16;false;false;false;false;801C043D6E444455248E030020082080002B886E000C004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
10.12.2023 00:00;19:39:28;1104;56;13;13;30;35;14. Feb;0.06;0;true;true;0;43;110;128;0;12;Apr 48;16;false;false;false;false;801C04506F444455238E030020082080002B886E000C004808C11033B9;0;0;0;0;0;0;0;false;0;0;0;0;0;0;0;
