Running;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-11-29 11:23:24.336;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:24.943;80;1C;00;00;3E;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:25.535;80;1C;00;00;3E;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:25.998;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:26.574;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;95;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:27.134;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;77;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:27.741;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:28.205;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:28.780;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;77;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:29.340;80;1C;00;00;3E;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:29.931;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;95;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;77;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:30.395;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:30.955;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;95;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;77;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:31.530;80;1C;00;00;3E;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;94;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;77;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:32.138;80;1C;00;00;3F;FF;40;FF;5E;74;33;00;10;01;00;00;08;24;88;93;04;FB;04;38;0D;3A;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;05;FF;1A;C0;21;40;29;80;37;C0;02
2023-11-29 11:23:32.602;80;1C;00;00;3F;FF;40;FF;5C;71;33;00;10;01;00;00;08;24;88;95;04;FB;04;38;0E;01;00;00;00;;;;
;7D;20;10;1F;FF;92;00;57;FF;FF;01;00;6F;64;00;FF;76;FF;FF;34;82;7B;D3;FF;1A;C0;21;40;29;80;37;C0;02
